country,description,name,num_ratings,rating,rum_type
United States,"Solera Costera Amber rum, a version of their base rum that’s aged with the Solera method in new charred American white oak barrels for an unspecified amount of time. Bottled at 84 proof. via  American Rum Report ",Solera Costera Amber,0,0.0,Gold
India,,Marco Polo XXX,0,0.0,Gold
United States,,Mad River Maple,0,0.0,Flavored
United States,"Red Sky Light rum, a pot-distilled, blackstrap molasses-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Red Sky Light,0,0.0,Light
Caribbean,,Duncan Taylor 1998 Cuba 14-Year,0,0.0,Aged
United States,"Vitae Platinum rum, a hybrid pot/column-distilled, molasses-based rum that’s bottled unfiltered and unaged at 80 proof. via  American Rum Report ",Vitae Platinum,0,0.0,Light
United States,,Soulard Island Gold,0,0.0,Gold
Venezuela,,Pampero Deluxe,0,0.0,Aged
Spain,,Guajiro Dorado,0,0.0,Aged
United States,"Picaroon  Single Barrel rum, a version of their base rum that spends one-and-a-half years in used bourbon barrels and then another year in used port barrels. Each batch comes from a single barrel and is bottled at 100 proof. via  American Rum Report ",Picaroon Single Barrel,0,0.0,Gold
Mauritius,,Green Island Super Light,0,0.0,Light
United States,"T. Rutter Unaged rum, a double-distilled (pot and column), cane sugar-based rum that’s bottled unaged at 90 proof. via  American Rum Report ",T. Rutter Unaged,0,0.0,Light
United States,"Boardroom Light rum, a hybrid pot/column-distilled, cane sugar-based rum that’s bottled unaged at 80 proof with no artificial additives or added sugar. via  American Rum Report ",Boardroom Light,0,0.0,Light
United States,"SeaSpirits Coconut rum, a version of the base used in their Silver Rum with added coconut flavor that’s bottled at 80 proof with no added sweeteners or color. via  American Rum Report ",Seaspirits Coconut,0,0.0,Flavored
Caribbean,,Alambic Classique Collection 2000 Foursquare Millenium Reserve 6-Year,0,0.0,Aged
Caribbean,,Plantation Barbados Distillers Vault,0,0.0,Aged
Brazil,,Rainha do Vale RV02 Cachaca,0,0.0,Cachaca
United States,"Wicked Dolphin Pineapple rum, a version of their Crystal Rum that’s blended with charred pineapple and bottled at 60 proof. via  American Rum Report ",Wicked Dolphin Pineapple,0,0.0,Flavored
United States,"Seacrets Coconut rum, a version of the base used in their White Rum that’s infused with coconut and bottled at 60 proof. via  American Rum Report ",Seacrets Coconut,0,0.0,Flavored
Caribbean,,Alambic Classique Collection 1998 Licorera Special Reserve 8-Year,0,0.0,Aged
United States,"Taildragger Torched Coconut rum, a version of the base used in their White Rum that’s infused with toasted natural coconut. Bottled at 60 proof with a “touch of sweetness” added, according to the distillery. via  American Rum Report ",Taildragger Torched Coconut,0,0.0,Flavored
United States,"Devil’s Own Coconut rum, a version of their base rum infused with flaked coconut and other natural flavors and sweetened with cane sugar. Bottled at 80 proof. via  American Rum Report ",Devil's Own Coconut,0,0.0,Flavored
United States,,Cotton & Reed Cider Barrel Spiced,0,0.0,Spiced
United States,"Devil’s Own Tropical Ginger rum, a version of their base rum infused with fresh ginger, dried ginger, pineapple, orange and lemon zest, and other natural flavors and bottled at 80 proof. via  American Rum Report ",Devil's Own Tropical Ginger,0,0.0,Flavored
United States,"Mt. Defiance Amber rum, a version of the base used in their White Rum that’s aged in used rye whiskey barrels for one year and bottled at 80 proof. via  American Rum Report ",Mt. Defiance Amber,0,0.0,Gold
United States,"Picaroon  Dark rum, an aged version of their base rum that spends 12-24 months in charred new American white oak barrels and is then blended with their unaged White Rum and a small amount of imported pot and column still rums from the French West Indies. Their house caramel is added before it’s bottled at 80 proof. via  American Rum Report ",Picaroon Dark,0,0.0,Dark
United States,"Cypress Creek Reserve Vanilla rum, a version of the base used in their Crystal Rum that’s infused with Tahitian vanilla beans and bottled at 80 proof. via  American Rum Report ",Cypress Creek Reserve Vanilla,0,0.0,Flavored
Panama,,Debonaire Coffee,0,0.0,Flavored
United States,"Railean Coconut rum, a version of the base used in their White Rum that’s infused with natural coconut and sweetened with cane syrup. Bottled at 80 proof with no color or artificial flavors added. via  American Rum Report ",Railean Coconut,0,0.0,Flavored
United States,"First Run Vanilla rum, a version of the base used in their First Run Rum that’s diluted to cask strength and then infused with Tahitian vanilla beans in stainless steel tanks for two-and-a-half months. Bottled at 80 proof with no added sugar or artificial flavors. via  American Rum Report ",First Run Vanilla,0,0.0,Flavored
Mexico,,Mocambo Silver Platinum,0,0.0,Light
Reunion,,Isautier Blanc 40,0,0.0,Light
Switzerland,,Cave Guildive 2008 Marie Galante Bielle 9-Year,0,0.0,Aged
Caribbean,,Alambic Classique Collection 2000 Trinidad Distillers Millenium Reserve 6-Year,0,0.0,Aged
United States,,Portashots Fletchers Gold,0,0.0,Aged
Spain,,Pujol Cremat,0,0.0,Aged
United States,"Montauk Rum Runners Sunburn Cinnamon rum, a pot-distilled, molasses-based rum with natural cinnamon flavor. Bottled at 70 proof. via  American Rum Report ",Montauk Sunburn Cinnamon,0,0.0,Aged
USA,"Cane & Abe Brandy Barrel rum, a version of the base used in their Cane & Abe Rum that’s aged in used brandy barrels for six to ten months and bottled at 80 proof with no added sweeteners. via  American Rum Report ",Cane & Abe Brandy Barrel,0,0.0,Gold
France,,Chantal Comte Fighting Spirit Gold,0,0.0,Aged
Jamaica,,Barrell Private Release,0,0.0,Aged
United Kingdom,,Cadenhead's Barbados Green Label 10-Year,0,0.0,Aged
United States,,Mo Jones Silver,0,0.0,Light
United States,"Picaroon Overproof rum, an unfiltered version of their White Rum that’s bottled unaged at 120 proof. via  American Rum Report ",Picaroon Overproof,0,0.0,Overproof
United States,,Pyracy Toasted Coconut,0,0.0,Flavored
Guadeloupe,,Bologne Magnum,0,0.0,Light
Jamaica & Guyana ,,Sea Wynde 2.nd Edition Pot Still,0,0.0,Aged
United States,"Pirate’s Cove White rum, a pot-distilled, molasses- and cane sugar-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Pirate’s Cove White,0,0.0,Light
United States,,Wicked Dolphin Rumshine Blueberry,0,0.0,Flavored
United States,"Island Spice Spiced rum, a version of the base used in their White Rum that’s infused with spices and other flavors and bottled at 80 proof. via  American Rum Report ",Island Spice Spiced,0,0.0,Spiced
United States,"Surveyors Bourbon Barreled rum, a version of the base used in the distillery’s Backbone Rum that’s aged in used bourbon barrels for an unspecified amount of time at varying proofs. via  American Rum Report ",Surveyors Bourbon Barreled,0,0.0,Gold
United States,"Montauk Rum Runners Black Sail rum, a pot-distilled, molasses-based rum that’s aged four years in heavily charred oak barrels. Bottled at 80 proof. via  American Rum Report ",Montauk Black Sail,0,0.0,Gold
Reunion,,Savanna Grand Arome 9-Year,0,0.0,Aged
United States,,Red Bordner South Carolina Silver,0,0.0,Light
United States,"Cardinal Tiki rum, a column-distilled, evaporated cane juice- and molasses-based rum that’s fermented with a hefeweizen yeast and a wild yeast strain that grows on sugarcane. It comes off the still at just under 150 proof and is diluted to 80 proof before bottling. via  American Rum Report ",Cardinal Tiki,0,0.0,Light
United States,"Thomas Tew Reserve rum, a limited release version of Thomas Tew Rum that’s aged seven to ten years and bottled in bond at 100 proof. via  American Rum Report ",Thomas Tew Reserve,0,0.0,Aged
Switzerland,,Cave Guildive 2004 Nicaragua 13-Year,0,0.0,Aged
United States,,Wicked Dolphin Rumshine Apple Pie,0,0.0,Flavored
United States,,Iron Goat Silver,0,0.0,Light
Reunion,,La Buse Vanille,0,0.0,Flavored
United States,,Trainwreck Silver,0,0.0,Light
United States,"Rumbunctious Original rum, a hybrid pot/column-distilled, Costa Rican cane sugar- and Florida blackstrap molasses-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Key West Rumbunctios Original,0,0.0,Gold
United States,,Bruddah Kimio's Da Bomb,0,0.0,Overproof
Caribbean,,Plantation 1997 Panama,0,0.0,Aged
Switzerland,,Cave Guildive 2006 Panama 11-Year,0,0.0,Aged
Guatemala,,Botran Gran Reserva Especial 75th Anniversary,0,0.0,Aged
United States,"Rumbunctious Spiced rum, a version of their Original Rum that’s flavored with natural spices and Madagascar vanilla beans. No artificial flavors or color added according to the distiller. Bottled at 80 proof. via  American Rum Report ",Key West Rumbunctios Spiced,0,0.0,Spiced
United States,,Ron Carlos Black,0,0.0,Flavored
United States,"Cedar Ridge Pirate’s Punch rum, a version of the base used in their White Rum with natural pineapple and key lime flavors added. Bottled at 60 proof. via  American Rum Report ",Cedar Ridge Pirate’s Punch,0,0.0,Flavored
Barbados,,La Confrérie 2000 Barbados,0,0.0,Aged
United States,,Twelve 33 Mullett Creek Silver,0,0.0,Aged
United States,"Big Springs Spiced rum, a version of the same base used in their White Rum with natural flavors and caramel color added. Bottled at 70 proof. via  American Rum Report ",Big Springs Spiced,0,0.0,Spiced
Caribbean,,Alambic Classique Collection 1992 Long Pond 15-Year,0,0.0,Aged
United States,,Ed Hardy Spiced,0,0.0,Spiced
"Venezuela, Bolivarian Republic of",,Carupano Frezz,0,0.0,Flavored
Guadeloupe,,Reimonenq 1999,0,0.0,Aged
Barbados,,Endless Summer Gold,0,0.0,Gold
Dominican Republic,,Dominican Club Gold,0,0.0,Gold
United Kingdom,,King Robert II White,0,0.0,Light
Caribbean,,Old Man Spirits Rum Project One Northmen Edition 4,0,0.0,Gold
United States,,Bull Run Pacific,0,0.0,Light
Spain,,Pujol Cana Pujol,0,0.0,Light
Caribbean,,Alambic Classique Collection 1998 Sanctus Spiritus 9-Year,0,0.0,Aged
Saint Martin,,Topper's Caribbean White,0,0.0,Light
Mexico,,Mocambo Anejo,0,0.0,Aged
Caribbean,,Caribbean Gold Spiced,0,0.0,Spiced
Caribbean,,Alambic Classique Collection 1995 Chichigalpa 15-Year,0,0.0,Aged
United States,,Krafted Small Batch Pineapple Infused,0,0.0,Flavored
Caribbean,,Blackadder 1999 Nicaraguan,0,0.0,Aged
United States,,Parrot Bay Passion Fruit,0,0.0,Flavored
Australia,,Frigate OP,0,0.0,Dark
Germany,,Johannsen White,0,0.0,Light
United States,,Pacific Panama,0,0.0,Aged
United States,,Seneca Bay Light,0,0.0,Light
United States,"Risky Light rum, a pot-distilled, blackstrap molasses- and dark brown sugar-based rum that’s bottled unaged at 80 proof. The distillery’s molasses and brown sugar are sourced from Domino Sugar in Maryland. via  American Rum Report ",Risky Light,0,0.0,Light
United States,,Bankers Club Gold,0,0.0,Gold
India,,Genius Gold,0,0.0,Gold
United States,"Canes & Grains Sweet Citrus rum, a hybrid pot/column-distilled, molasses- and cane sugar-based rum that’s infused with cold pressed oranges and bottled at 80 proof. (Citrus Distillers is a private label distillery, and Canes & Grains is a brand they’ve created.) via  American Rum Report ",Canes & Grains Sweet Citrus,0,0.0,Flavored
Germany,,Bondplan Sombre,0,0.0,Dark
Jamaica,,Berry Bros. & Rudd Nicaragua 13-Year,0,0.0,Aged
Italy,,Nottingham Forest Roomdi White,0,0.0,Light
Caribbean,,Alambic Classique Collection 1998 Sanctus Spiritus 16-Year,0,0.0,Aged
Saint Martin,,Topper's Mocha Mama,0,0.0,Flavored
United States,,Backwoods Lemon Lime Kiwi,0,0.0,Aged
Bahamas,"CH Silver rum, a pot- and column-distilled, molasses-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Chick Charney Gold,0,0.0,Gold
Ecuador,,Estelar Blanco,0,0.0,Light
Canada,,Newfoundland Screech Honey,0,0.0,Flavored
Guyana,,El Dorado Silver 6-Year,0,0.0,Aged
United States,,Geek Spiced,0,0.0,Spiced
United States,,Dove Tale 4-Year,0,0.0,Aged
United States,"Tashtego White rum, a pot-distilled, Grade A molasses-based rum that’s charcoal filtered and bottled unaged at 80 proof. via  American Rum Report ",Tashtego White,0,0.0,Light
Spain,,Ocean's Triple S Dominica,0,0.0,Aged
Thailand,,Koh Samui Pineaple,0,0.0,Flavored
United States,Spurgeon’s Barrel Aged Rum is a hybrid pot/column-distilled Alabama cane syrup and Mauritian muscovado sugar-based rum that’s aged for two years in charred American white oak barrels that previously held John Emerald’s Single Malt Whiskey. Bottled at 86 proof. ,Spurgeon’s Barrel Aged,0,0.0,Aged
Trinidad,,Denizen Vatted Dark,0,0.0,Aged
Denmark,,To Gents Crossroads Cask Strength,0,0.0,Aged
Spain,,Ocean's Triple S Jamaica,0,0.0,Aged
United States,"Buck-U Red Buck rum, a version of the base used in their White Rum that’s aged in new white oak barrels for an unspecified amount of time and bottled at 80 proof. via  American Rum Report ",Buck-U Red Buck,0,0.0,Gold
United States,,Island Time Crystal,0,0.0,Light
Brazil,,51 Gold,0,0.0,Gold
United States,"Three Roll Dark rum, a pot-distilled, 100% blackstrap molasses-based rum that’s rested in 4,000-gallon French oak cognac vats (previously used by Rémy Martin) and then finished in American oak barrels. Bottled at 80 proof with no added sweeteners. via  American Rum Report ",Three Roll Dark,0,0.0,Dark
Seychelles,,Takamaka Bay Pineapple,0,0.0,Flavored
United States,"Daufuskie Island Vanilla rum, a version of the base used in their Silver Edition Rum that’s naturally flavored with a vanilla extract they create using their Silver Edition Rum and Maui vanilla beans. It’s bottled at 80 proof along with a vanilla bean that’s added just before corking. via  American Rum Report ",Daufuskie Island Vanilla,0,0.0,Flavored
Australia,,The Kimberly Rum Company Canefire,0,0.0,Aged
United States,"Cacao Prieto White rum, a hybrid pot/column-distilled, Dominican evaporated cane juice-based rum that’s fermented with wine yeast and bottled unaged at 90 proof. via  American Rum Report ",Cacao Prieto White,0,0.0,Light
Panama,,Colibri Insignis,0,0.0,Aged
United States,"Busted Barrel Busted Barrel Silver rum, a pot-distilled, Louisiana molasses-based rum that’s carbon filtered and bottled unaged at 80 proof. via  American Rum Report ",Busted Barrel Silver,0,0.0,Light
Switzerland,,Cave Guildive 1998 Trinidad Caroni 20-Year,0,0.0,Aged
United States,,Dogfish Head Light,0,0.0,Light
United States,"Skaalvenn Light rum, a hybrid pot/column-distilled, unrefined cane sugar-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Skaalvenn Light,0,0.0,Light
Italy,,Velier 1988 Uitvlugt 1988 17-Year,0,0.0,Overproof
Ecuador,,Estelar Peach,0,0.0,Flavored
Caribbean,,Alambic Classique Collection 1998 Bellevue 14-Year,0,0.0,Aged
United Kingdom,,Dark Matter White,0,0.0,Light
United States,,Twisted Path Dark,0,0.0,Dark
United States,,Parrot Bay Pineapple,0,0.0,Flavored
United States,"Fathoms Below Spiced rum, a spiced version of the same base from their Inland Sea Rum that’s finished with an infusion of charred American oak. via  American Rum Report ",Fathoms Below Spiced,0,0.0,Spiced
United States,,Muckley Eye White,0,0.0,Light
United States,"Portland Riot rum, a hybrid pot/column-distilled, molasses-based rum that’s aged for over a year in used barrels from Maine Craft Distilling and New England distilling. This rum is a collaboration that combines recipes from all three distilleries. It’s released once a year and bottled at 90 proof. via  American Rum Report ",Portland Riot,0,0.0,Gold
Caribbean,,Plantation 2000 Long Pond Jamaica 17-Year,0,0.0,Aged
Colombia,,Aguardiente Cristal Tipo Exportación,0,0.0,Light
Panama,,Colibri Carob,0,0.0,Aged
United States,,Pontalba Dark,0,0.0,Dark
Caribbean,,Alambic Classique Collection 2008 Bellevue 9-Year,0,0.0,Aged
United States,"Lassiter’s Light rum, a hybrid pot/column-distilled, molasses- and unrefined cane sugar-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Lassiter’s Light,0,0.0,Light
United States,"Inland Sea Light rum, a column-distilled, molasses based rum that’s unaged and bottled at 80 proof. via  American Rum Report ",Inland Sea Light,0,0.0,Light
United Kingdom,,Bristol Classic 1989 Trinidad,0,0.0,Gold
Trinidad and Tobago,,Caroni Creole Punch,0,0.0,Dark
India,,Gypsy Matured XXX,0,0.0,Gold
Trinidad and Tobago,,Angostura Rare Blend 12-Year,0,0.0,Aged
Italy,,Moon Import 2000 Trinidad by Pepi Mongiardino 17-Year,0,0.0,Aged
India,,El Canso Gold,0,0.0,Gold
India,,Power XXX,0,0.0,Gold
United States,,Hell's Bay Gold,0,0.0,Gold
United States,"Lula Light rum, a pot-distilled, Louisiana molasses- and raw cane sugar-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Lula Light,0,0.0,Light
Italy,,Silver Seal 1975 Demerara Port Morant 37-Year,0,0.0,Aged
United States,"Ration Expedition Style 2-Year rum, a version of the base used in their White Rum that’s aged in heavily charred new American white oak barrels for two years and bottled at 90 proof. via  American Rum Report ",Ration Expedition Style 2-Year,0,0.0,Gold
United States,"Raleigh Procrastinator’s Reserve rum, a version of the base used in their White Rum that’s aged in new American white oak barrels for four years and bottled at 80 proof. via  American Rum Report ",Raleigh Procrastinator’s Reserve 4-Year,0,0.0,Gold
Mexico,,Habanero 38,0,0.0,Aged
Jamaica,,Myrtle Bank Gold,0,0.0,Gold
"Venezuela, Bolivarian Republic of",,Carupano Mango,0,0.0,Flavored
United States,,Dancing Pines Spiced,0,0.0,Spiced
United States,"Innovo White rum, a molasses-based rum that’s pot distilled over six times and and bottled unaged at 80 proof. via  American Rum Report ",Innovo White,0,0.0,Light
Panama,,Colibri Sarau,0,0.0,Aged
United States,,Devil's Own Dark,0,0.0,Dark
United States,,Cotton & Reed 2017 Spice As Nice,0,0.0,Flavored
India,,Delight XXX,0,0.0,Gold
United States,"Lady Anne Toasted Hazelnut and Coffee rum, a version of their White Rum base that’s infused with toasted hazelnuts and locally roasted cold brew coffee. Bottled unaged at 80 proof. via  American Rum Report ",Lady Anne Toasted Hazelnut and Coffee,0,0.0,Flavored
Mexico,,El Chorrito Aguardiente,0,0.0,Aged
United States,"Rank Wildcat Black Gold rum, a version of the base used in their Sweet Crude Rum that’s infused with charred American white oak staves and then finished in 10-gallon barrels (less than one year of total oak time). Bottled at 80 proof. via  American Rum Report ",Rank Wildcat Black Gold,0,0.0,Gold
France,,Chantal Comte 2001 l'Arbre du Voyageur Reserve Garanti non filtre,0,0.0,Agricole
Australia,,Club Armada White,0,0.0,Light
United States,"Railean Lime rum, a version of the base used in their White Rum that’s infused with natural lime and sweetened with cane syrup. Bottled at 80 proof with no color or artificial flavors added. via  American Rum Report ",Railean Lime,0,0.0,Flavored
United States,"SeaSpirits Silver rum, a hybrid pot/column-distilled, molasses-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Seaspirits Silver,0,0.0,Light
United States,"Mammoth Gold rum, a hybrid pot/column-distilled, Louisiana blackstrap molasses-based rum that’s aged in used bourbon barrels for an unspecified amount of time and bottled at 80 proof. via  American Rum Report ",Mammoth Gold,0,0.0,Gold
Caribbean,,Compagnie des Indes 2005 Guyana Demerara Distillers Limited Port Mourant Still 12-Year,0,0.0,Aged
Caribbean,,Alambic Classique Collection 1998 Westerhall XO 9-Year,0,0.0,Aged
Panama,,Colibri Caoba,0,0.0,Aged
United Kingdom,,Cadenhead's 1999 CMA 17-Year,0,0.0,Aged
United States,"Folly Cove Gold rum, a pot-distilled, Louisiana molasses-based rum that’s aged five to eight years in new charred American white oak barrels and bottled at 80 proof. via  American Rum Report ",Folly Cove Gold,0,0.0,Gold
United States,,Orchid Coconut,0,0.0,Light
United States,"Gold Miner Barrel Reserve rum, a version of their Gold Miner Rum that’s aged two to five years in lightly toasted new white oak barrels. Bottled at 80 proof. via  American Rum Report ",Gold Miner Barrel Reserve,0,0.0,Aged
United States,"Copper Run Overproof rum, a version of their White Rum that’s bottled unaged at 120 proof. via  American Rum Report ",Copper Run Overproof,0,0.0,Light
Mauritius,,Blue Mauritius Silver,0,0.0,Light
United States,,Vida Cana USVI American Craft,0,0.0,Gold
Panama,,Colibri Scherry,0,0.0,Aged
United States,"Constellation Gold rum, a special release of their base rum that was aged in used bourbon barrels at sea aboard the U.S.S. Constellation for up to an additional year. The time spent at sea provided constant agitation of the rum and large fluctuations in temperature (from lows of 9 degrees to highs of 101 degrees). via  American Rum Report ",Constellation Gold,0,0.0,Gold
United States,,Sea Island Gold,0,0.0,Gold
Dominican Republic,,Rhumba Caramel,0,0.0,Aged
United States,"Rank Wildcat Sweet Crude rum, a hybrid pot/column-distilled, Louisiana cane syrup- and raw cane sugar-based rum that’s bottled unaged at 80 proof with no added sugar, flavor, or color. via  American Rum Report ",Rank Wildcat Sweet Crude,0,0.0,Light
United Kingdom,,Cadenhead's Fiji 12-Year,0,0.0,Aged
Panama,,Colibri Rombero,0,0.0,Aged
United States,,Dogfish Head White,0,0.0,Light
Barbados,,Kozi Bay Gold,0,0.0,Gold
Italy,,Velier 1990 Enmore,0,0.0,Aged
United States,,Dogfish Head Wit Spiced,0,0.0,Spiced
United States,"Short Path Gold rum, a version of the base used in their White Rum that’s aged in used whiskey barrels for one year and bottled at 80 proof. via  American Rum Report ",Short Path Gold,0,0.0,Gold
Caribbean,,Caribbean Golden 2002,0,0.0,Aged
Caribbean,,Alambic Classique Collection 1998 Westerhall 14-Year,0,0.0,Aged
Panama,,Colibri Gatzara,0,0.0,Aged
Dominica,,Soca Overproof,0,0.0,Overproof
Netherlands,,Baquba Limon,0,0.0,Flavored
Spain,,Aldea Familia 1969,0,0.0,Aged
United States,,Six Spiced,0,0.0,Spiced
Colombia,"The precious liquids in our 'Best Of' range represent a selection from our greatest and most mature barrels. Our impressive collection has been developing since the opening of our distillery in 1913 and represents one of the most significant stocks of Fine & Rare Rums in the World today. The aging process gives complexity, smoothness, 3rd and 4th tasting note, character and the lingering aftertaste. ",Dictador 1972 Extremo Best of 45-Year,0,0.0,Aged
United States,"Petty’s Island Driftwood Dream Spiced rum, a version of the base used in their Petty’s Island Rum that’s aged on toasted applewood for a month and infused with natural cinnamon, coffee, vanilla, cloves, ginger, and allspice. The same molasses used in the rum’s base is added as a sweetener before it’s bottled at 80 proof. via  American Rum Report ",Petty's Island Driftwood Dream Spiced,0,0.0,Spiced
Switzerland,,Cave Guildive 2000 Barbados W.I.R.D 17-Year,0,0.0,Aged
United States,"Dew Point Gold rum, a version of the same base used to make their Risky Rum that’s infused with charred oak spirals for two months and bottled at 100 proof. via  American Rum Report ",Dew Point Gold,0,0.0,Gold
Saint Lucia,,Chairman's 2005 Reserve,0,0.0,Aged
United States,"Mt. Defiance White rum, a double pot-distilled, panela sugar (evaporated cane juice)-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Mt. Defiance White,0,0.0,Light
Dominican Republic,"Parchando 12-Year rum, a n imported column-distilled, molasses-based rum from Colombia that’s aged 12 years in used bourbon barrels before it’s bottled at 80 proof with no added sugar, flavors, or color. via  American Rum Report ",Ron Cristóbal Cristobal Niňa 12-Year 12-Year,0,0.0,Aged
Caribbean,,Alambic Classique Collection 2002 Galion 5-Year,0,0.0,Aged
United States,,Kahakai Tiki Banana Spiced,0,0.0,Flavored
Italy,,Velier 1989 Albion,0,0.0,Aged
United States,,Smugglers Notch 7-Year,0,0.0,Aged
United States,,Six Light,0,0.0,Light
Spain,,Guajiro Anejo 7-Year,0,0.0,Aged
Australia,,Kimberley Moon White,0,0.0,Light
Spain,,Senaris Anejo,0,0.0,Gold
New Zealand,,Waiwera Spiced Silver,0,0.0,Spiced
United States,,Cane Light,0,0.0,Light
United States,"Kicking Mule Spiced rum, a version of the base used in their White Rum that’s infused with spices and bottled at 80 proof with added caramel. via  American Rum Report ",Kicking Mule Spiced,0,0.0,Spiced
United States,"Daufuskie Island Silver rum, a column-distilled, demerara sugar-based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Daufuskie Island Silver,0,0.0,Aged
Jamaica,,Kudjoe While,0,0.0,Light
United States,"Hard Truth Light rum, a double column-distilled, 50% cane sugar- and 50% molasses-based rum that’s filtered and bottled unaged at 80 proof. via  American Rum Report ",Hard Truth Light,0,0.0,Light
United States,"Iron Fish Michigan Dark rum, a version of the base used in their White Rum (including the added local honey) that’s aged in toasted oak barrels for one year and bottled at 82 proof. via  American Rum Report ",Iron Fish Michigan Dark,0,0.0,Dark
United States,,Kavana Java,0,0.0,Flavored
India,,Sunny XXX,0,0.0,Gold
United States,,American Pride Silver,0,0.0,Light
Guadeloupe,,Montebello 2013 Cuvée Special 40%,0,0.0,Aged
Caribbean,,Renegade Grenada,0,0.0,Aged
United States,"Gold Miner White rum, a column-distilled, molasses based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Gold Miner White,0,0.0,Light
Venezuela,,Pampero Caribbean Reserve,0,0.0,Gold
Portugal,,North Barrica Nova,0,0.0,Gold
United States,"Big Z Gold rum, a special release of their base rum that was aged for one year in used bourbon barrels and bottled at 80 proof. via  American Rum Report ",Big Z Gold,0,0.0,Gold
United States,,M Light,0,0.0,Light
Australia,,Frigate UP,0,0.0,Gold
United States,"Dancing Bee Honey rum, a version of their base rum with added locally produced honey. via  American Rum Report ",Dancing Bee Honey,0,0.0,Flavored
Dominican Republic,,New Dawn 2004 15-Year,0,0.0,Aged
Cuba,,Cubanacan Blanco Superior,0,0.0,Light
Barbados,,Isla De Rico Silver,0,0.0,Light
French Polynesia,,Gauguin White,0,0.0,Light
French Polynesia,,Gauguin Brown,0,0.0,Gold
United States,"Alander White rum, a pot-distilled, demerara sugar- and Louisiana turbinado sugar-based rum that’s bottled unaged at 90 proof. via  American Rum Report ",Alander White,0,0.0,Light
India,,3 Horse XXX,0,0.0,Gold
Martinique,,Trois Rivieres 10-Year,0,0.0,Aged
Reunion,,Savanna 12-Year,0,0.0,Aged
India,,Amrut White,0,0.0,Light
Dominican Republic,,Yacuro Anejo 5-Year,0,0.0,Gold
Martinique,,Trois Rivieres 2005,0,0.0,Aged
Caribbean,,Plantation Extreme No4 Long Pind 2000 Itp 20-Year,0,0.0,Aged
Brazil,,Beleza Pura Super Premium Cachaca,0,0.0,Cachaca
Dominica,,Belfast D Special,0,0.0,Aged
Guadeloupe,,Montebello 2014 Blanc Winch,0,0.0,Agricole
Dominica,,Belfast Cask,0,0.0,Aged
Italy,,La Casa del Rum Guatemala Nicaragua Trinidad Fine Blended,0,0.0,Aged
United States,,Socal Silver,0,0.0,Light
United Kingdom,,Cadenhead's Belize 9-Year,0,0.0,Aged
Guadeloupe,,Montebello 1997 Winch 8-Year,0,0.0,Aged
Germany,,Rum Company 10,0,0.0,Aged
United States,,Monarch Coconut,0,0.0,Flavored
Andorra,,Rum & Cane Venezuela XO,0,0.0,Aged
Guadeloupe,,Montebello 2002 L’equilibre 15-Year,0,0.0,Aged
Trinidad and Tobago,,Caroni Gold Magic,0,0.0,Gold
Dominican Republic,,Brugal Gran Reserva Familiar,0,0.0,Gold
United States,"Roulaison Overproof rum, a version of the base used in their Traditional Pot Distilled Rum that’s bottled unfiltered and unaged at 114.5 proof with no added sugar, flavor, or color. via  American Rum Report ",Roulaison Overproof,0,0.0,Overproof
Germany,,Johannsen Windjammer Alex 2,0,0.0,Aged
United States,"Eight Oaks Colonial rum, a hybrid pot/column-distilled, molasses-based rum that’s bottled unaged at 88 proof. via  American Rum Report ",Eight Oaks Colonial,0,0.0,Light
Portugal,,Lido Original,0,0.0,Light
United Kingdom,,Cadenhead's Panama Green Label 9-Year,0,0.0,Aged
Caribbean,,Compagnie des Indes 1996 Trinidad Old Caroni 18-Year,0,0.0,Aged
Sweden,,Weiron Nicaragua,0,0.0,Aged
Trinidad and Tobago,,Summum Sauternes Cask 12,0,0.0,Aged
United Kingdom,,Kill Devil (Hunter Laing) Venezuela 13-Year,0,0.0,Aged
Andorra,,Rum & Cane Caribbean Reserve Pampero 9-Year,0,0.0,Aged
Panama,"One individual barrel, bottled uncut and unfiltered. Aged for a minimum 8 years in ex-bourbon American White Oak barrels, with some barrels that previously held sherry. This exemplifies the full spirit of Grander. Gold Medal, 2018 San Francisco World Spirits Competition
 93 Points, 2018 Ultimate Spirits Challenge
 Finalist, 2018 Ultimate Spirits Challenge ",Grander Single Barrel 8 year,0,0.0,Aged
Mexico,,Jinete Anejo,0,0.0,Light
Trinidad and Tobago,,Caroni Special Old Cask,0,0.0,Aged
United States,"Alander Aged rum, a version of the base used in their White Rum that’s aged up to one year in the distillery’s own used rye whiskey barrels and bottled at 90 proof. via  American Rum Report ",Alander Aged,0,0.0,Aged
